nameOfSchool,location,category,zone
"Community High School, Olooji Area J4 ",AREA J4,COMBINED,IJEBU EAST
"Anglican Comprehensive High School, Ikoto Snr",IKOTO ,SENIOR,ODOGBOLU
"Multilateral Grammar School, Okun-Owa",OKUN-OWA,SENIOR,ODOGBOLU
"Ososa Comprehensive High School, Ososa",OSOSA,SENIOR,ODOGBOLU
"Odogbolu Comprehensive High School,Odogbolu",ODOGBOLU,SENIOR,ODOGBOLU
"Odogbolu Grammar School, Odogbolu",ODOGBOLU,SENIOR,ODOGBOLU
"Omu-Ajose Comprehensive High School, Odogbolu",OMU,SENIOR,ODOGBOLU
"Ibefun/Ilado Comprehensive High School, Ibefun",IBEFUN,SENIOR,ODOGBOLU
"Odua Comprehensive High School, Imoru",IMORU,SENIOR,ODOGBOLU
"Anglican Comprehensive High School, Ikoto",IKOTO,JUNIOR,ODOGBOLU
"Multilateral Grammar School, Okun-Owa",OKUN-OWA,JUNIOR,ODOGBOLU
"Ososa Comprehensive High School, Ososa",OSOSA,JUNIOR,ODOGBOLU
"Odogbolu Comprehensive High School,Odogbolu",ODOGBOLU,JUNIOR,ODOGBOLU
"Odogbolu Grammar School, Odogbolu",ODOGBOLU,JUNIOR,ODOGBOLU
"Omu-Ajose Comprehensive High School, Odogbolu",OMU,JUNIOR,ODOGBOLU
"Ibefun/Ilado Comprehensive High School, Ibefun",IBEFUN,JUNIOR,ODOGBOLU
"Odua Comprehensive High School, Imoru",IMORU,JUNIOR,ODOGBOLU
"Aiyepe Comprehensive High School, Aiyepe",AIYEPE,COMBINED,ODOGBOLU
"Community Grammar School, Aiyepe",AIYEPE,COMBINED,ODOGBOLU
"Idowa Comprehensive High School, Idowa",IDOWA,COMBINED,ODOGBOLU
"Igbile Community High School, Igbile",IGBILE,COMBINED,ODOGBOLU
"Ijebu Sounthern District Grammar School, Ala",ALA,COMBINED,ODOGBOLU
"Ogbo Community Comprehensive High School, Ogbo",OGBO,COMBINED,ODOGBOLU
Ifesowapo Comprehensive High School,IMODI/IMOSAN,COMBINED,ODOGBOLU
"Ikangba Comprehensive High School, Ikangba",IKANGBA,COMBINED,ODOGBOLU
"Imodi-Ijasi Comprehensive High School, Imodi",IMODI IJASI,COMBINED,ODOGBOLU
"Moraika Comprehensive High School, Atiba",ATIBA,COMBINED,ODOGBOLU
"Imagbon/Imaka Comprehensive High School, Imagbo",IMAGBON,COMBINED,ODOGBOLU
"Titilayo Agbaje Memorial Comprehensive High School, Imosan",IMODI/IMOSAN,COMBINED,ODOGBOLU
Adeola Odutola College,IJEBU ODE,SENIOR,IJEBU ODE
Anglican Girls Grammar School,IJEBU ODE,SENIOR,IJEBU ODE
"Ansar-Ud-Deen High School, Ijebu-Ode",IJEBU ODE,SENIOR,IJEBU ODE
"Christ Church High School, Sabo",IJEBU ODE,SENIOR,IJEBU ODE
"Ijebu Muslim College, Ijebu-Ode",IJEBU ODE,SENIOR,IJEBU ODE
"Ijebu-Ode Grammar School, Ijebu-Ode",IJEBU ODE,SENIOR,IJEBU ODE
Luba Comprehensive School,IJEBU ODE,SENIOR,IJEBU ODE
"Molipa High School, Ijebu-Ode",IJEBU ODE,SENIOR,IJEBU ODE
Moslem Comprehensive High School,IJEBU ODE,SENIOR,IJEBU ODE
"Muslim Girls High School, Ijebu-Ode",IJEBU ODE,SENIOR,IJEBU ODE
Our Lady Of Apostles Secondary School,IJEBU ODE,SENIOR,IJEBU ODE
Adeola Odutola College,IJEBU ODE,JUNIOR,IJEBU ODE
Anglican Girls Gram. Sch.,IJEBU ODE,JUNIOR,IJEBU ODE
Ansar-Ud-Deen High. Sch. Ijebu-Ode,IJEBU ODE,JUNIOR,IJEBU ODE
Christ Church High School,IJEBU ODE,JUNIOR,IJEBU ODE
"Ijebu Muslim College, Ijebu-Ode",IJEBU ODE,JUNIOR,IJEBU ODE
Ijebu-Ode Gram. Sch.,IJEBU ODE,JUNIOR,IJEBU ODE
Luba Comp. High School,IJEBU ODE,JUNIOR,IJEBU ODE
Molipa High School,IJEBU ODE,JUNIOR,IJEBU ODE
Moslem Comp. High School,IJEBU ODE,JUNIOR,IJEBU ODE
Muslim Girls High Sch.,IJEBU ODE,JUNIOR,IJEBU ODE
Our Lady Of Apostles Secondary School,IJEBU ODE,JUNIOR,IJEBU ODE
"Ansar-Ud-Deen High School, Isinwo",ISINWO,COMBINED,IJEBU ODE
"Itamapako High School, Iloti",ILOTI,COMBINED,IJEBU ODE
"Obafemi Awolowo Comp. High School, Odonoko",ODONOKO,COMBINED,IJEBU ODE
